VariableName,ResultValue
"NewCapacity(RE1,MINBIO,2027)",4.0586832
"NewCapacity(RE1,MINBIO,2028)",4.0586832
"NewCapacity(RE1,MINBIO,2029)",4.0586832
"NewCapacity(RE1,MINBIO,2030)",4.0586832
"NewCapacity(RE1,MINHYD,2015)",10.575959
"NewCapacity(RE1,MINHYD,2016)",10.575959
"NewCapacity(RE1,MINHYD,2017)",10.575959
"NewCapacity(RE1,MINHYD,2018)",10.575959
"NewCapacity(RE1,MINHYD,2019)",10.575959
"NewCapacity(RE1,MINHYD,2020)",10.575959
"NewCapacity(RE1,MINHYD,2021)",10.575959
"NewCapacity(RE1,MINHYD,2022)",10.575959
"NewCapacity(RE1,MINHYD,2023)",10.575959
"NewCapacity(RE1,MINHYD,2024)",10.575959
"NewCapacity(RE1,MINHYD,2025)",10.575959
"NewCapacity(RE1,MINHYD,2026)",10.575959
"NewCapacity(RE1,MINHYD,2027)",10.575959
"NewCapacity(RE1,MINHYD,2028)",5.80724
"NewCapacity(RE1,MINHYD,2029)",5.80724
"NewCapacity(RE1,MINHYD,2030)",5.80724
"NewCapacity(RE1,MINHYD,2031)",5.80724
"NewCapacity(RE1,MINHYD,2032)",5.80724
"NewCapacity(RE1,MINHYD,2033)",5.80724
"NewCapacity(RE1,MINHYD,2034)",5.80724
"NewCapacity(RE1,MINHYD,2035)",5.80724
"NewCapacity(RE1,MINHYD,2036)",5.80724
"NewCapacity(RE1,MINHYD,2037)",2.2465965
"NewCapacity(RE1,MINHYD,2038)",2.2465965
"NewCapacity(RE1,MINHYD,2039)",2.2465965
"NewCapacity(RE1,MINGEO,2015)",20.453137
"NewCapacity(RE1,MINGEO,2016)",21.628914
"NewCapacity(RE1,MINGEO,2017)",25.564471
"NewCapacity(RE1,MINGEO,2018)",29.634859
"NewCapacity(RE1,MINGEO,2019)",33.533305
"NewCapacity(RE1,MINGEO,2020)",37.413178
"NewCapacity(RE1,MINGEO,2021)",43.501241
"NewCapacity(RE1,MINGEO,2022)",47.182527
"NewCapacity(RE1,MINGEO,2023)",51.114285
"NewCapacity(RE1,MINGEO,2024)",51.524467
"NewCapacity(RE1,MINGEO,2025)",51.524467
"NewCapacity(RE1,MINGEO,2026)",53.978614
"NewCapacity(RE1,MINGEO,2027)",59.072399
"NewCapacity(RE1,MINGEO,2028)",68.074419
"NewCapacity(RE1,MINGEO,2029)",73.62358
"NewCapacity(RE1,MINGEO,2030)",79.537491
"NewCapacity(RE1,MINGEO,2031)",83.289808
"NewCapacity(RE1,MINGEO,2032)",90.207404
"NewCapacity(RE1,MINGEO,2033)",97.64199
"NewCapacity(RE1,MINGEO,2034)",105.62791
"NewCapacity(RE1,MINGEO,2035)",112.91636
"NewCapacity(RE1,MINGEO,2036)",122.883
"NewCapacity(RE1,MINGEO,2037)",132.78554
"NewCapacity(RE1,MINGEO,2038)",136.37831
"NewCapacity(RE1,MINGEO,2039)",148.68675
"NewCapacity(RE1,MINGEO,2040)",142.15007
"NewCapacity(RE1,MINGEO,2041)",152.00224
"NewCapacity(RE1,MINGEO,2042)",162.40764
"NewCapacity(RE1,MINGEO,2043)",174.2518
"NewCapacity(RE1,MINGEO,2044)",187.26395
"NewCapacity(RE1,MINGEO,2045)",201.00626
"NewCapacity(RE1,MINGEO,2046)",215.81197
"NewCapacity(RE1,MINGEO,2047)",228.1966
"NewCapacity(RE1,MINGEO,2048)",241.27383
"NewCapacity(RE1,MINGEO,2049)",255.08237
"NewCapacity(RE1,MINGEO,2050)",270.2718
"NewCapacity(RE1,MINGEO,2051)",280.11843
"NewCapacity(RE1,MINGEO,2052)",290.29443
"NewCapacity(RE1,MINGEO,2053)",300.81082
"NewCapacity(RE1,MINGEO,2054)",313.05403
